Ligand_name	23_solution_0^1	Bujnicki_01^1	Bujnicki_02^1	Bujnicki_03^1	Chen_01^1	Chen_02^1	Chen_03^1	Das_01^1	Das_02^1	Das_03^1	Das_04^1	Das_05^1	Das_06^1	Das_07^1	Das_08^1	Das_09^1	Das_10^1	Ding_01^1	Ding_02^1	Ding_03^1	Ding_04^1	Ding_05^1	Dokholyan_01^1	RNAComposerHuman_01^1	RNAComposerHuman_02^1	RNAComposerHuman_03^1	Xiao_01^1	Xiao_02^1	Xiao_03^1	Xiao_04^1	Xiao_05^1
Das_04^1	0.5145	0.0001	0.0589	0.189	0.1217	0.1491	0.1768	0.5407	0.6111	0.5658	1.0	0.5407	0.4573	0.7432	0.6686	0.6086	0.4573	0.4629	0.4243	0.4216	0.4763	0.5		0.3563	0.3563	0.3143	0.0001	0.0001	0.0001	0.1421	0.1491
Das_05^1	0.3338	0.0001	0.1721	0.1226	0.1777	0.1451	0.1721	0.5263	0.5948	0.6508	0.5407	1.0	0.5564	0.7233	0.7009	0.6516	0.5008	0.4506	0.4129	0.3078	0.2649	0.4326		0.2601	0.2601	0.3824	0.0001	0.0001	0.0001	0.0001	0.2176
Das_06^1	0.2941	0.0001	0.1819	0.1945	0.0626	0.0001	0.1213	0.3895	0.6288	0.5822	0.4573	0.5564	1.0	0.4118	0.4234	0.5636	0.4706	0.5293	0.4851	0.3254	0.3501	0.4002		0.275	0.275	0.4042	0.0001	0.0001	0.0001	0.0001	0.1534
Das_07^1	0.4706	0.0001	0.0606	0.0648	0.0626	0.0767	0.0606	0.6677	0.686	0.688	0.7432	0.7233	0.4118	1.0	0.8468	0.6262	0.5882	0.4763	0.4366	0.3254	0.3501	0.4573		0.275	0.275	0.3234	0.0001	0.0001	0.0001	0.0731	0.2301
Das_08^1	0.4234	0.0001	0.0546	0.1166	0.169	0.138	0.1637	0.7509	0.7201	0.7143	0.6686	0.7009	0.4234	0.8468	1.0	0.5634	0.5293	0.4762	0.4364	0.3416	0.378	0.4629		0.4124	0.4124	0.4364	0.0001	0.0001	0.0001	0.1316	0.276
Das_09^1	0.2505	0.0001	0.0645	0.138	0.0667	0.0001	0.1291	0.5923	0.6694	0.5634	0.6086	0.6516	0.5636	0.6262	0.5634	1.0	0.5636	0.5071	0.4131	0.3464	0.3727	0.4869		0.2928	0.2928	0.3443	0.0001	0.0001	0.0001	0.0001	0.1633
Das_10^1	0.2941	0.0731	0.0606	0.1296	0.1252	0.0767	0.1213	0.5008	0.5145	0.5822	0.4573	0.5008	0.4706	0.5882	0.5293	0.5636	1.0	0.5293	0.4366	0.2169	0.2801	0.343		0.275	0.275	0.4042	0.1715	0.2018	0.14	0.2194	0.1534
Ding_01^1	0.3176	0.0001	0.0546	0.175	0.2254	0.276	0.3819	0.4005	0.5143	0.5714	0.4629	0.4506	0.5293	0.4763	0.4762	0.5071	0.5293	1.0	0.7856	0.6343	0.6299	0.6172		0.4124	0.4124	0.5092	0.0001	0.0001	0.0001	0.1316	0.069
Ding_02^1	0.3395	0.0001	0.05	0.2138	0.2582	0.253	0.3	0.3212	0.3771	0.4801	0.4243	0.4129	0.4851	0.4366	0.4364	0.4131	0.4366	0.7856	1.0	0.7155	0.5196	0.6128		0.378	0.378	0.4667	0.0001	0.0001	0.0001	0.1206	0.0632
Ding_03^1	0.2712	0.0001	0.0559	0.1793	0.2309	0.2828	0.3354	0.3078	0.3689	0.2928	0.4216	0.3078	0.3254	0.3254	0.3416	0.3464	0.2169	0.6343	0.7155	1.0	0.71	0.7906		0.4226	0.4226	0.3727	0.0001	0.0001	0.0001	0.2023	0.1414
Ding_04^1	0.21	0.0001	0.0001	0.1543	0.0745	0.0913	0.2165	0.3311	0.4082	0.315	0.4763	0.2649	0.3501	0.3501	0.378	0.3727	0.2801	0.6299	0.5196	0.71	1.0	0.7485		0.4364	0.4364	0.3849	0.0001	0.0001	0.0001	0.3482	0.0913
Ding_05^1	0.2287	0.0001	0.0589	0.252	0.1217	0.1491	0.1768	0.4326	0.5	0.4115	0.5	0.4326	0.4002	0.4573	0.4629	0.4869	0.343	0.6172	0.6128	0.7906	0.7485	1.0		0.4454	0.4454	0.4714	0.0001	0.0001	0.0001	0.2843	0.2236
Dokholyan_01^1																															
RNAComposerHuman_01^1	0.1833	0.0001	0.0945	0.101	0.0976	0.0001	0.0945	0.3468	0.2673	0.3299	0.3563	0.2601	0.275	0.275	0.4124	0.2928	0.275	0.4124	0.378	0.4226	0.4364	0.4454		1.0	1.0	0.7559	0.0001	0.0001	0.0001	0.114	0.0001
RNAComposerHuman_02^1	0.1833	0.0001	0.0945	0.101	0.0976	0.0001	0.0945	0.3468	0.2673	0.3299	0.3563	0.2601	0.275	0.275	0.4124	0.2928	0.275	0.4124	0.378	0.4226	0.4364	0.4454		1.0	1.0	0.7559	0.0001	0.0001	0.0001	0.114	0.0001
RNAComposerHuman_03^1	0.2425	0.0001	0.0833	0.1782	0.1721	0.0001	0.1667	0.3059	0.3143	0.5092	0.3143	0.3824	0.4042	0.3234	0.4364	0.3443	0.4042	0.5092	0.4667	0.3727	0.3849	0.4714		0.7559	0.7559	1.0	0.0001	0.0001	0.0001	0.1005	0.0001
Xiao_01^1	0.0001	0.1421	0.2357	0.126	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.1715	0.0001	0.0001	0.0001	0.0001	0.0001		0.0001	0.0001	0.0001	1.0	0.523	0.6124	0.2132	0.1491
Xiao_02^1	0.0001	0.2509	0.2774	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.2018	0.0001	0.0001	0.0001	0.0001	0.0001		0.0001	0.0001	0.0001	0.523	1.0	0.4804	0.3345	0.2631
Xiao_03^1	0.0001	0.087	0.2887	0.1543	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.14	0.0001	0.0001	0.0001	0.0001	0.0001		0.0001	0.0001	0.0001	0.6124	0.4804	1.0	0.1741	0.1826
Xiao_04^1	0.2925	0.0001	0.0001	0.0806	0.1557	0.1907	0.1508	0.1383	0.0711	0.0658	0.1421	0.0001	0.0001	0.0731	0.1316	0.0001	0.2194	0.1316	0.1206	0.2023	0.3482	0.2843		0.114	0.114	0.1005	0.2132	0.3345	0.1741	1.0	0.0953
Xiao_05^1	0.1534	0.1907	0.1581	0.0845	0.0001	0.0001	0.0001	0.2902	0.2981	0.207	0.1491	0.2176	0.1534	0.2301	0.276	0.1633	0.1534	0.069	0.0632	0.1414	0.0913	0.2236		0.0001	0.0001	0.0001	0.1491	0.2631	0.1826	0.0953	1.0
