Ligand_name	23_solution_0^1	Bujnicki_01^1	Bujnicki_02^1	Bujnicki_03^1	Chen_01^1	Chen_02^1	Chen_03^1	Das_01^1	Das_02^1	Das_03^1	Das_04^1	Das_05^1	Das_06^1	Das_07^1	Das_08^1	Das_09^1	Das_10^1	Ding_01^1	Ding_02^1	Ding_03^1	Ding_04^1	Ding_05^1	Dokholyan_01^1	RNAComposerHuman_01^1	RNAComposerHuman_02^1	RNAComposerHuman_03^1	Xiao_01^1	Xiao_02^1	Xiao_03^1	Xiao_04^1	Xiao_05^1
Das_04^1	0.3333	0.0312	0.0606	0.1538	0.1212	0.1034	0.1765	0.3462	0.3846	0.4138	1.0	0.4583	0.44	0.4348	0.3846	0.5	0.2857	0.4783	0.4348	0.4783	0.3182	0.3636	0.0001	0.1905	0.1905	0.2609	0.0001	0.0001	0.0001	0.0909	0.0938
Das_05^1	0.2963	0.0323	0.0625	0.16	0.2	0.1071	0.2581	0.2143	0.2963	0.6	0.4583	1.0	0.3462	0.6	0.4583	0.4583	0.2963	0.375	0.3913	0.375	0.1667	0.2083	0.0001	0.1429	0.1429	0.2174	0.0001	0.0001	0.0001	0.0606	0.0625
Das_06^1	0.3333	0.0645	0.0938	0.1538	0.1212	0.0323	0.1765	0.25	0.3846	0.3667	0.44	0.3462	1.0	0.2222	0.2	0.3846	0.3333	0.36	0.32	0.2593	0.2083	0.25	0.0001	0.1905	0.1905	0.2609	0.0001	0.0001	0.0001	0.0588	0.0938
Das_07^1	0.2692	0.0001	0.0323	0.08	0.1724	0.0741	0.1935	0.3913	0.4348	0.4615	0.4348	0.6	0.2222	1.0	0.5714	0.375	0.32	0.2917	0.3043	0.3478	0.1818	0.2273	0.0001	0.1579	0.1579	0.3	0.0001	0.0001	0.0001	0.0645	0.0667
Das_08^1	0.2857	0.0001	0.0294	0.1111	0.1212	0.1034	0.1765	0.5217	0.3846	0.5185	0.3846	0.4583	0.2	0.5714	1.0	0.2857	0.2	0.2593	0.2692	0.3077	0.2083	0.25	0.0001	0.25	0.25	0.2609	0.0001	0.0001	0.0001	0.0909	0.0938
Das_09^1	0.2414	0.0312	0.0606	0.0714	0.1562	0.0667	0.2121	0.2963	0.5	0.4138	0.5	0.4583	0.3846	0.375	0.2857	1.0	0.2	0.4167	0.375	0.4167	0.2609	0.3043	0.0001	0.1364	0.1364	0.2083	0.0244	0.027	0.0278	0.0588	0.0294
Das_10^1	0.2414	0.0645	0.0001	0.1538	0.1212	0.0667	0.1111	0.1667	0.2	0.2059	0.2857	0.2963	0.3333	0.32	0.2	0.2	1.0	0.2593	0.2692	0.2143	0.2083	0.25	0.0001	0.087	0.087	0.2609	0.0769	0.0857	0.0882	0.1613	0.0938
Ding_01^1	0.3077	0.0001	0.0312	0.12	0.129	0.0714	0.1515	0.2222	0.36	0.3448	0.4783	0.375	0.36	0.2917	0.2593	0.4167	0.2593	1.0	0.8235	0.5238	0.4211	0.4737	0.0001	0.2778	0.2778	0.35	0.0001	0.0001	0.0001	0.1724	0.0645
Ding_02^1	0.32	0.0001	0.0323	0.125	0.1333	0.0741	0.1562	0.2308	0.32	0.3571	0.4348	0.3913	0.32	0.3043	0.2692	0.375	0.2692	0.8235	1.0	0.4762	0.4444	0.5	0.0001	0.2941	0.2941	0.3684	0.0001	0.0001	0.0001	0.1786	0.0667
Ding_03^1	0.36	0.0001	0.0312	0.1667	0.2069	0.1538	0.2258	0.2692	0.3077	0.3929	0.4783	0.375	0.2593	0.3478	0.3077	0.4167	0.2143	0.5238	0.4762	1.0	0.4211	0.4737	0.0001	0.2778	0.2778	0.2857	0.0001	0.0001	0.0001	0.1333	0.0645
Ding_04^1	0.16	0.0001	0.0001	0.0952	0.0714	0.0417	0.0645	0.2727	0.2609	0.2143	0.3182	0.1667	0.2083	0.1818	0.2083	0.2609	0.2083	0.4211	0.4444	0.4211	1.0	0.7692	0.0001	0.2857	0.2857	0.375	0.0001	0.0001	0.0001	0.16	0.0001
Ding_05^1	0.1538	0.0001	0.0001	0.1429	0.069	0.04	0.0625	0.3182	0.3043	0.25	0.3636	0.2083	0.25	0.2273	0.25	0.3043	0.25	0.4737	0.5	0.4737	0.7692	1.0	0.0001	0.2667	0.2667	0.3529	0.0001	0.0001	0.0001	0.1538	0.0357
Dokholyan_01^1	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001		0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
RNAComposerHuman_01^1	0.1905	0.0001	0.0435	0.0556	0.0833	0.05	0.1154	0.2632	0.25	0.2	0.1905	0.1429	0.1905	0.1579	0.25	0.1364	0.087	0.2778	0.2941	0.2778	0.2857	0.2667	0.0001	1.0	1.0	0.6364	0.0001	0.0001	0.0001	0.087	0.0001
RNAComposerHuman_02^1	0.1905	0.0001	0.0435	0.0556	0.0833	0.05	0.1154	0.2632	0.25	0.2	0.1905	0.1429	0.1905	0.1579	0.25	0.1364	0.087	0.2778	0.2941	0.2778	0.2857	0.2667	0.0001	1.0	1.0	0.6364	0.0001	0.0001	0.0001	0.087	0.0001
RNAComposerHuman_03^1	0.16	0.0001	0.037	0.0455	0.1111	0.0417	0.1379	0.3333	0.381	0.2593	0.2609	0.2174	0.2609	0.3	0.2609	0.2083	0.2609	0.35	0.3684	0.2857	0.375	0.3529	0.0001	0.6364	0.6364	1.0	0.0001	0.0001	0.0001	0.2083	0.0001
Xiao_01^1	0.0001	0.1471	0.2424	0.0588	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0244	0.0769	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.0	0.76	0.72	0.2353	0.2059
Xiao_02^1	0.0001	0.1667	0.1562	0.0667	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.027	0.0857	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.76	1.0	0.7727	0.2667	0.2759
Xiao_03^1	0.0001	0.1333	0.2414	0.069	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0278	0.0882	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.72	0.7727	1.0	0.2333	0.2
Xiao_04^1	0.0909	0.0645	0.0001	0.0345	0.1212	0.1034	0.1111	0.0938	0.0588	0.0789	0.0909	0.0606	0.0588	0.0645	0.0909	0.0588	0.1613	0.1724	0.1786	0.1333	0.16	0.1538	0.0001	0.087	0.087	0.2083	0.2353	0.2667	0.2333	1.0	0.0606
Xiao_05^1	0.0938	0.1034	0.0625	0.0741	0.0001	0.0333	0.0001	0.0968	0.0606	0.1111	0.0938	0.0625	0.0938	0.0667	0.0938	0.0294	0.0938	0.0645	0.0667	0.0645	0.0001	0.0357	0.0001	0.0001	0.0001	0.0001	0.2059	0.2759	0.2	0.0606	1.0
