Ligand_name	23_solution_0^1	Bujnicki_01^1	Bujnicki_02^1	Bujnicki_03^1	Chen_01^1	Chen_02^1	Chen_03^1	Das_01^1	Das_02^1	Das_03^1	Das_04^1	Das_05^1	Das_06^1	Das_07^1	Das_08^1	Das_09^1	Das_10^1	Ding_01^1	Ding_02^1	Ding_03^1	Ding_04^1	Ding_05^1	Dokholyan_01^1	RNAComposerHuman_01^1	RNAComposerHuman_02^1	RNAComposerHuman_03^1	Xiao_01^1	Xiao_02^1	Xiao_03^1	Xiao_04^1	Xiao_05^1
Ding_01^1	0.5	0.0001	0.1179	0.4714	0.3162	0.1443	0.2673	0.559	0.625	0.6396	0.7071	0.6682	0.7071	0.625	0.559	0.6396	0.5893	1.0	1.0	0.825	0.7217	0.8018	0.1443	0.4743	0.4743	0.5345	0.0001	0.0001	0.0001	0.4009	0.0001
Ding_02^1	0.5	0.0001	0.1179	0.4714	0.3162	0.1443	0.2673	0.559	0.625	0.6396	0.7071	0.6682	0.7071	0.625	0.559	0.6396	0.5893	1.0	1.0	0.825	0.7217	0.8018	0.1443	0.4743	0.4743	0.5345	0.0001	0.0001	0.0001	0.4009	0.0001
Ding_03^1	0.7071	0.0001	0.1111	0.3333	0.4472	0.4082	0.504	0.527	0.4714	0.603	0.7778	0.6299	0.6667	0.5893	0.6325	0.603	0.4444	0.825	0.825	1.0	0.6804	0.7559	0.1361	0.4472	0.4472	0.504	0.0001	0.0001	0.0001	0.504	0.0001
Ding_04^1	0.433	0.0001	0.1361	0.2722	0.1826	0.0001	0.1543	0.7746	0.7217	0.3693	0.8165	0.4629	0.5443	0.7217	0.7746	0.4924	0.5443	0.7217	0.7217	0.6804	1.0	0.7715	0.3333	0.3651	0.3651	0.4629	0.0001	0.0001	0.0001	0.3086	0.0001
Ding_05^1	0.4009	0.0001	0.0001	0.378	0.3381	0.1543	0.2857	0.5976	0.5345	0.4558	0.7559	0.4286	0.504	0.5345	0.5976	0.4558	0.504	0.8018	0.8018	0.7559	0.7715	1.0	0.3086	0.5071	0.5071	0.7143	0.0001	0.0001	0.0001	0.5714	0.0001
Dokholyan_01^1	0.1443	0.1543	0.1361	0.2722	0.0001	0.1667	0.0001	0.3873	0.433	0.2462	0.4082	0.1543	0.4082	0.2887	0.3873	0.2462	0.5443	0.1443	0.1443	0.1361	0.3333	0.3086	1.0	0.1826	0.1826	0.3086	0.2722	0.0001	0.3086	0.1543	0.2041
RNAComposerHuman_01^1	0.3162	0.0001	0.0001	0.2981	0.2	0.3651	0.3381	0.4243	0.3162	0.4045	0.4472	0.169	0.2981	0.1581	0.4243	0.1348	0.1491	0.4743	0.4743	0.4472	0.3651	0.5071	0.1826	1.0	1.0	0.8452	0.0001	0.0001	0.0001	0.3381	0.0001
RNAComposerHuman_02^1	0.3162	0.0001	0.0001	0.2981	0.2	0.3651	0.3381	0.4243	0.3162	0.4045	0.4472	0.169	0.2981	0.1581	0.4243	0.1348	0.1491	0.4743	0.4743	0.4472	0.3651	0.5071	0.1826	1.0	1.0	0.8452	0.0001	0.0001	0.0001	0.3381	0.0001
RNAComposerHuman_03^1	0.2673	0.0001	0.0001	0.378	0.169	0.3086	0.2857	0.4781	0.4009	0.4558	0.6299	0.2857	0.378	0.2673	0.4781	0.2279	0.378	0.5345	0.5345	0.504	0.4629	0.7143	0.3086	0.8452	0.8452	1.0	0.0001	0.0001	0.0001	0.5714	0.0001
Xiao_01^1	0.0001	0.504	0.2222	0.4444	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.1005	0.3333	0.0001	0.0001	0.0001	0.0001	0.0001	0.2722	0.0001	0.0001	0.0001	1.0	0.5556	0.504	0.0001	0.6667
Xiao_02^1	0.0001	0.504	0.5556	0.4444	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.5556	1.0	0.504	0.126	0.3333
Xiao_03^1	0.0001	0.1429	0.504	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.114	0.252	0.0001	0.0001	0.0001	0.0001	0.0001	0.3086	0.0001	0.0001	0.0001	0.504	0.504	1.0	0.0001	0.378
Xiao_04^1	0.4009	0.1429	0.0001	0.252	0.3381	0.3086	0.2857	0.239	0.1336	0.2279	0.378	0.1429	0.126	0.1336	0.239	0.114	0.252	0.4009	0.4009	0.504	0.3086	0.5714	0.1543	0.3381	0.3381	0.5714	0.0001	0.126	0.0001	1.0	0.0001
Xiao_05^1	0.0001	0.378	0.1667	0.3333	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.1667	0.0001	0.0001	0.0001	0.0001	0.0001	0.2041	0.0001	0.0001	0.0001	0.6667	0.3333	0.378	0.0001	1.0
